Year,File Name,Meet Name,URL,Meet ID
1915,1915.json,1st CIF State T&F Champs 1915,https://athletic.net/TrackAndField/meet/403983,403983
1916,1916.json,2nd CIF State T&F Champs 1916,https://athletic.net/TrackAndField/meet/404052,404052
1917,1917.json,3rd CIF State T&F Champs 1917,https://athletic.net/TrackAndField/meet/404073,404073
1918,1918.json,4th CIF State T&F Champs 1918,https://athletic.net/TrackAndField/meet/404163,404163
1919,1919.json,5th CIF State T&F Champs 1919,https://athletic.net/TrackAndField/meet/404212,404212
1920,1920.json,6th CIF State T&F Champs 1920,https://athletic.net/TrackAndField/meet/404234,404234
1921,1921.json,7th CIF State T&F Champs 1921,https://athletic.net/TrackAndField/meet/404242,404242
1922,1922.json,8th CIF State T&F Champs 1922,https://athletic.net/TrackAndField/meet/404260,404260
1923,1923.json,9th CIF State T&F Champs 1923,https://athletic.net/TrackAndField/meet/404317,404317
1924,1924.json,10th CIF State T&F Champs 1924,https://athletic.net/TrackAndField/meet/404339,404339
1925,1925.json,11th CIF State T&F Champs 1925,https://athletic.net/TrackAndField/meet/404340,404340
1926,1926.json,12th CIF State T&F Champs 1926,https://athletic.net/TrackAndField/meet/404588,404588
1927,1927.json,13th CIF State T&F Champs 1927,https://athletic.net/TrackAndField/meet/404662,404662
1928,1928.json,14th CIF State T&F Champs 1928,https://athletic.net/TrackAndField/meet/404663,404663
1929,1929.json,15th CIF State T&F Champs 1929,https://athletic.net/TrackAndField/meet/404664,404664
1930,1930.json,16th CIF State T&F Champs 1930,https://athletic.net/TrackAndField/meet/404722,404722
1931,1931.json,17th CIF T&F State Champs 1931,https://athletic.net/TrackAndField/meet/404759,404759
1932,1932.json,18th CIF State T&F Champs 1932,https://athletic.net/TrackAndField/meet/404760,404760
1933,1933.json,19th CIF State T&F Champs 1933,https://athletic.net/TrackAndField/meet/404773,404773
1934,1934.json,20th CIF State T&F Champs 1934,https://athletic.net/TrackAndField/meet/404786,404786
1935,1935.json,21st CIF State T&F Champs 1935,https://athletic.net/TrackAndField/meet/404832,404832
1936,1936.json,22nd CIF State T&F Champs 1936,https://athletic.net/TrackAndField/meet/404854,404854
1937,1937.json,23rd CIF State T&F Champs 1937,https://athletic.net/TrackAndField/meet/405124,405124
1938,1938.json,24th CIF State T&F Champs 1938,https://athletic.net/TrackAndField/meet/405265,405265
1939,1939.json,25th CIF State T&F Champs 1939,https://athletic.net/TrackAndField/meet/405295,405295
1940,1940.json,26th CIF State T&F Champs 1940,https://athletic.net/TrackAndField/meet/405391,405391
1941,1941.json,27th CIF State T&F Champs 1941,https://athletic.net/TrackAndField/meet/405395,405395
1946,1946.json,28th CIF State T&F Champs 1946,https://athletic.net/TrackAndField/meet/405452,405452
1947,1947.json,29th CIF State T&F Champs 1947,https://athletic.net/TrackAndField/meet/405453,405453
1948,1948.json,30th CIF State T&F Champs 1948,https://athletic.net/TrackAndField/meet/89131,89131
1949,1949.json,31st CIF State T&F Champs 1949,https://athletic.net/TrackAndField/meet/405590,405590
1950,1950.json,32nd CIF State T&F Champs 1950,https://athletic.net/TrackAndField/meet/405589,405589
1951,1951.json,33rd CIF State T&F Champs 1951,https://athletic.net/TrackAndField/meet/405710,405710
1952,1952.json,34th CIF State T&F Champs 1952,https://athletic.net/TrackAndField/meet/405711,405711
1953,1953.json,35th CIF State T&F Champs 1953,https://athletic.net/TrackAndField/meet/405712,405712
1954,1954.json,36th CIF State T&F Champs 1954,https://athletic.net/TrackAndField/meet/405714,405714
1955,1955.json,37th CIF State T&F Champs 1955,https://athletic.net/TrackAndField/meet/405715,405715
1956,1956.json,38th CIF State T&F Champs 1956,https://athletic.net/TrackAndField/meet/235294,235294
1957,1957.json,39th CIF State T&F Champs 1957,https://www.athletic.net/TrackAndField/meet/405730/results,405730
1958,1958.json,40th CIF State T&F Champs 1958,https://athletic.net/TrackAndField/meet/405731,405731
1959,1959.json,41st CIF State T&F Champs 1959,https://athletic.net/TrackAndField/meet/405732,405732
1960,1960.json,42nd CIF State T&F Champs 1960,https://athletic.net/TrackAndField/meet/405733,405733
1961,1961.json,43rd CIF State T&F Champs 1961,https://athletic.net/TrackAndField/meet/89133,89133
1962,1962.json,44th CIF T&F State Champs 1962,https://athletic.net/TrackAndField/meet/391151,391151
1963,1963.json,45th CIF State T&F Champs Finals 1963,https://athletic.net/TrackAndField/meet/405742,405742
1964,1964.json,46th CIF State T&F Champs Finals 1964,https://athletic.net/TrackAndField/meet/405744,405744
1965,1965.json,47th CIF State T&F Champs Finals 1965,https://athletic.net/TrackAndField/meet/405746,405746
1966,1966.json,48th CIF State T&F Champs Finals 1966,https://athletic.net/TrackAndField/meet/405749,405749
1967,1967.json,49th CIF State T&F Champs Finals 1967,https://athletic.net/TrackAndField/meet/405750,405750
1968,1968.json,50th CIF State T&F Champs Finals 1968,https://athletic.net/TrackAndField/meet/405774,405774
1969,1969.json,51st CIF State T&F Champs Finals 1969,https://athletic.net/TrackAndField/meet/405782,405782
1970,1970.json,52nd CIF State T&F Champs Finals 1970,https://athletic.net/TrackAndField/meet/405776,405776
1971,1971.json,53rd CIF State T&F Champs Finals 1971,https://athletic.net/TrackAndField/meet/405784,405784
1972,1972.json,54th CIF State T&F Champs Finals 1972,https://athletic.net/TrackAndField/meet/405786,405786
1973,1973.json,55th CIF State T&F Champs Finals 1973,https://athletic.net/TrackAndField/meet/405832,405832
1974,1974.json,56th CIF State T&F Champs Finals 1974,https://athletic.net/TrackAndField/meet/405828,405828
1975,1975.json,57th CIF State T&F Champs Finals 1975,https://athletic.net/TrackAndField/meet/405834,405834
1976,1976.json,58th CIF State T&F Champs Finals 1976,https://athletic.net/TrackAndField/meet/405778,405778
1977,1977.json,59th CIF State T&F Champs Finals 1977,https://athletic.net/TrackAndField/meet/405836,405836
1978,1978.json,60th CIF State T&F Champs Finals 1978,https://athletic.net/TrackAndField/meet/405830,405830
1979,1979.json,61st CIF State T&F Champs Finals 1979,https://athletic.net/TrackAndField/meet/405838,405838
1980,1980.json,62nd CIF State T&F Champs Finals 1980,https://athletic.net/TrackAndField/meet/405780,405780
1981,1981.json,63rd CIF State T&F Champs Finals 1981,https://athletic.net/TrackAndField/meet/405842,405842
1982,1982.json,64th CIF State T&F Champs Finals 1982,https://athletic.net/TrackAndField/meet/391112,391112
1983,1983.json,65th CIF State T&F Champs 1983,https://athletic.net/TrackAndField/meet/405754,405754
1984,1984.json,66th CIF State T&F Champs 1984,https://athletic.net/TrackAndField/meet/405755,405755
1985,1985.json,67th CIF State T&F Champs Finals 1985,https://athletic.net/TrackAndField/meet/405758,405758
1986,1986.json,68th CIF State T&F Champs Finals 1986,https://athletic.net/TrackAndField/meet/405761,405761
1987,1987.json,69th CIF State T&F Champs Finals 1987,https://athletic.net/TrackAndField/meet/405763,405763
1988,1988.json,70th CIF State T&F Champs Finals 1988,https://athletic.net/TrackAndField/meet/405765,405765
1989,1989.json,71st CIF State T&F Champs Finals 1989,https://athletic.net/TrackAndField/meet/405767,405767
1990,1990.json,72nd CIF State T&F Champs Finals 1990,https://athletic.net/TrackAndField/meet/60788,60788
1991,1991.json,73rd CIF State T&F Champs Finals 1991,https://athletic.net/TrackAndField/meet/60767,60767
1992,1992.json,74th CIF State T&F Champs Finals 1992,https://athletic.net/TrackAndField/meet/405852,405852
1993,1993.json,75th CIF State T&F Champs Finals 1993,https://athletic.net/TrackAndField/meet/405853,405853
1994,1994.json,76th CIF State T&F Champs Finals 1994,https://athletic.net/TrackAndField/meet/405856,405856
1995,1995.json,77th CIF State T&F Champs Finals 1995,https://athletic.net/TrackAndField/meet/405858,405858
1996,1996.json,78th CIF State T&F Champs Finals 1996,https://athletic.net/TrackAndField/meet/405861,405861
1997,1997.json,79th CIF State T&F Champs Finals 1997,https://athletic.net/TrackAndField/meet/405840,405840
1998,1998.json,80th CIF State T&F Champs Finals 1998,https://athletic.net/TrackAndField/meet/405844,405844
1999,1999.json,81st CIF State T&F Champs Finals 1999,https://athletic.net/TrackAndField/meet/108842,108842
2000,2000.json,82nd CIF State T&F Champs Finals 2000,https://athletic.net/TrackAndField/meet/316998,316998
2001,2001.json,83rd CIF State T&F Champs Finals 2001,https://athletic.net/TrackAndField/meet/40232,40232
2002,2002.json,84th CIF State T&F Champs Finals 2002,https://athletic.net/TrackAndField/meet/403568,403568
2003,2003.json,85th CIF State T&F Champs Finals 2003,https://athletic.net/TrackAndField/meet/71089,71089
2004,2004.json,86th CIF State T&F Champs Finals 2004,https://athletic.net/TrackAndField/meet/284579,284579
2005,2005.json,87th CIF State T&F Champs Finals 2005,https://athletic.net/TrackAndField/meet/34243,34243
2006,2006.json,88th CIF State T&F Champs Finals 2006,https://athletic.net/TrackAndField/meet/177733,177733
2007,2007.json,89th CIF State T&F Champs Finals 2007,https://athletic.net/TrackAndField/meet/27990,27990
2008,2008.json,90th CIF State T&F Champs Finals 2008,https://athletic.net/TrackAndField/meet/40766,40766
2009,2009.json,91st CIF State T&F Champs Finals 2009,https://athletic.net/TrackAndField/meet/404037,404037
2010,2010.json,92nd CIF State T&F Champs Finals 2010,https://athletic.net/TrackAndField/meet/100560,100560
2011,2011.json,93rd CIF State T&F Champs Finals 2011,https://athletic.net/TrackAndField/meet/119927,119927
2012,2012.json,94th CIF State T&F Champs Finals 2012,https://athletic.net/TrackAndField/meet/141731,141731
2013,2013.json,95th CIF State T&F Champs Finals 2013,https://athletic.net/TrackAndField/meet/167607,167607
2014,2014.json,96th CIF State T&F Champs Finals 2014,https://athletic.net/TrackAndField/meet/199772,199772
2015,2015.json,97th CIF State T&F Champs Finals 2015,https://athletic.net/TrackAndField/meet/226391,226391
2016,2016.json,98th CIF State T&F Champs Finals 2016,https://athletic.net/TrackAndField/meet/252190,252190
2017,2017.json,99th CIF State T&F Champs Finals 2017,https://athletic.net/TrackAndField/meet/284930,284930
2018,2018.json,100th CIF State T&F Champs Finals 2018,https://athletic.net/TrackAndField/meet/317436,317436
2019,2019.json,101st CIF State T&F Champs Finals 2019,https://athletic.net/TrackAndField/meet/350701,350701
2020,2020.json,Canceled - 102nd CIF State Championships Finals,https://athletic.net/TrackAndField/meet/387028,387028
2021,2021.json,Canceled - 102nd CIF State T&F Champs Finals 2021,https://athletic.net/TrackAndField/meet/407884,407884
2022,2022.json,102nd CIF State T&F Champs Finals 2022,https://athletic.net/TrackAndField/meet/441286,441286
2023,2023.json,103rd CIF State T&F Champs Finals 2023,https://athletic.net/TrackAndField/meet/478983,478983
2024,2024.json,104th CIF State T&F Championships 2024,https://athletic.net/TrackAndField/meet/518939,518939
2025,2025.json,105th CIF State TF Champs Finals 2025,https://athletic.net/TrackAndField/meet/561060,561060